"Description","Date","Distance","Average Moving Speed","Max Speed"
"West Didsbury to Altrincham ","14/03/2012 07:49",6.49,12.64,20.15
"Altrincham to West Didsbury ","14/03/2012 18:06",6.39,13.58,24.21
"West Didsbury to Altrincham ","15/03/2012 07:55",6.44,12.56,21.69
"Altrincham to West Didsbury ","15/03/2012 17:45",6.38,13.23,22.67
"West Didsbury to Altrincham ","16/03/2012 07:52",6.36,12.65,20.43
"Altrincham to West Didsbury ","16/03/2012 18:22",6.42,14.07,23.51
"West Didsbury to Altrincham ","19/03/2012 07:53",6.53,12.75,18.75
"Altrincham to West Didsbury ","19/03/2012 17:45",6.34,14.12,24.63
"Altrincham to West Didsbury ","20/03/2012 18:18",6.37,13.73,23.23
"West Didsbury to Altrincham ","21/03/2012 07:54",6.43,12.1,18.47
"Altrincham to West Didsbury ","21/03/2012 17:52",6.41,13.3,23.23
"West Didsbury to Altrincham ","23/03/2012 07:03",6.43,13.9,22.95
"Altrincham to West Didsbury ","23/03/2012 16:55",6.07,14.06,23.51
"West Didsbury to Altrincham ","27/03/2012 07:51",6.4,13.29,21.83
"West Didsbury to Altrincham ","28/03/2012 06:57",6.48,13.21,19.31
"West Didsbury to Altrincham ","29/03/2012 07:58",6.41,12.55,19.45
"Altrincham to West Didsbury ","29/03/2012 17:46",7.86,13.22,22.11
"West Didsbury to Altrincham ","30/03/2012 07:54",6.49,12.09,19.73
"West Didsbury to Altrincham ",2/4/2012 7:55:00,6.45,12.73,18.19
"Altrincham to West Didsbury ",2/4/2012 17:53:00,6.37,13.81,22.39
"West Didsbury to Altrincham ",3/4/2012 7:54:00,6.44,13.15,20.01
"Altrincham to West Didsbury ",3/4/2012 17:42:00,6.95,14.56,28.68
"West Didsbury to Altrincham ",4/4/2012 7:54:00,6.53,14.48,23.37
"Altrincham to West Didsbury ",4/4/2012 17:40:00,5.96,11.58,20.85
"West Didsbury to Altrincham ",5/4/2012 7:50:00,6.39,13.18,21.69
"West Didsbury to Altrincham ",10/4/2012 7:10:00,6.42,13.23,18.75
"Altrincham to West Didsbury ",10/4/2012 17:45:00,6.37,15.27,27.28
"West Didsbury to Altrincham ",11/4/2012 7:52:00,6.39,13.16,21.13
"Altrincham to West Didsbury ",11/4/2012 17:42:00,6.01,15.26,22.81
"West Didsbury to Altrincham ","13/04/2012 07:53",6.38,14.1,22.11
"Altrincham to West Didsbury ","13/04/2012 17:40",6.38,13.91,22.53
"West Didsbury to Altrincham ","16/04/2012 07:54",6.38,13.75,18.89
"Altrincham to West Didsbury ","16/04/2012 17:47",6.34,15.66,24.63
"West Didsbury to Altrincham ","17/04/2012 07:49",6.4,12.6,19.59
"Altrincham to West Didsbury ","17/04/2012 17:51",6.37,15.17,28.54
"West Didsbury to Altrincham ","18/04/2012 07:51",6.47,13.71,20.85
"Altrincham to West Didsbury ","18/04/2012 18:04",6.32,13.49,26.17
"West Didsbury to Altrincham ","19/04/2012 07:50",6.42,13.49,23.23
"Altrincham to West Didsbury ","19/04/2012 17:45",6.4,13.19,23.79
"West Didsbury to Altrincham ","20/04/2012 07:47",6.37,13.48,19.17
"Altrincham to West Didsbury ","20/04/2012 17:40",6.35,15.11,24.07
